"","Gender_D","Age_D","Race_or_Ethnicity_D","Education_D","Observed_Rate","Background_Rate","EquityValue","user_n","pValue","BH_p"
"125","Female",NA,"Hispanic",">=College grad",0.00312377977352597,0.00569885295939174,-0.603807669355619,32,0.000535469232750182,0.000702803367984613
"126","Female",NA,"Hispanic","HSG/GED",0.0079070675517376,0.0174722341815982,-0.802544197469751,81,1.48031429594441e-13,3.27227370682449e-13
"127","Female",NA,"Hispanic","Some college/TS",0.00634517766497462,0.0208495748080641,-1.20434305608625,65,9.18089126137351e-25,2.96613409982837e-24
"128","Female",NA,"NH Black","<HSG",0.0222569308863725,0.0208194853390892,0.0682332045942138,228,0.30821897711881,0.349870190242973
"129","Female",NA,"NH Black",">=College grad",0.0143498633346349,0.0172908883039229,-0.189427559917289,147,0.0223974259305814,0.02850581482074
"130","Female",NA,"NH Black","HSG/GED",0.0294806716126513,0.0105716517519603,1.04485482546428,302,3.88920872428555e-78,5.44489221399977e-77
"131","Female",NA,"NH Black","Some college/TS",0.0289925810230379,0.0301441000465212,-0.0401358519784325,297,0.495470519847316,0.520244045839682
"132","Female",NA,"NH White","<HSG",0.0191331511128465,0.03549856150378,-0.634895080330454,196,3.5009176144555e-19,9.18990873794568e-19
"133","Female",NA,"NH White",">=College grad",0.0472471690745802,0.0439886076107864,0.0748763745584586,484,0.10777597718836,0.129331172626031
"134","Female",NA,"NH White","HSG/GED",0.0633541585318235,0.0543262087558043,0.163326211948252,649,5.54616825418286e-05,7.76463555585601e-05
"135","Female",NA,"NH White","Some college/TS",0.0808278016399844,0.101198782166307,-0.247177322140625,828,8.12099260309546e-12,1.70540844665005e-11
"136","Female",NA,"Other","<HSG",0.00946895743850058,0.0087447471049481,0.0802964871872005,97,0.431113831398487,0.464276433813755
"137","Female",NA,"Other",">=College grad",0.0126903553299492,0.0128848422855283,-0.015406327942685,130,0.86143894148427,0.86143894148427
"138","Female",NA,"Other","HSG/GED",0.0125927372120266,0.00424288481339039,1.09629760394469,129,1.19367513504025e-38,7.16205081024153e-38
"139","Female",NA,"Other","Some college/TS",0.0101522842639594,0.0158898594444236,-0.453795690729399,104,3.41920825858771e-06,4.95195678829944e-06
"140","Male",NA,"Hispanic","<HSG",0.0114213197969543,0.0434295830335463,-1.3685729085684,117,6.92298788009061e-57,5.81530981927611e-56
"141","Male",NA,"Hispanic",">=College grad",0.00468566966028895,0.0043244076256192,0.0805965736453134,48,0.577369965663535,0.591452159948011
"142","Male",NA,"Hispanic","HSG/GED",0.0100546661460367,0.0216903077043103,-0.780652135882136,103,6.24109861401732e-16,1.45625634327071e-15
"143","Male",NA,"Hispanic","Some college/TS",0.0108356110894182,0.0259753023635259,-0.889732019375396,111,5.76988794438313e-22,1.61556862442728e-21
"144","Male",NA,"NH Black","<HSG",0.0174736431081609,0.0120111689334901,0.380400899490816,179,3.87032368037404e-07,6.77306644065458e-07
"145","Male",NA,"NH Black",">=College grad",0.0175712612260836,0.00962886123303253,0.609551665673042,180,1.84266992087956e-16,4.55247862805538e-16
"146","Male",NA,"NH Black","HSG/GED",0.0286997266692698,0.0208732688201249,0.326443684435098,294,3.00810618720465e-08,5.49306347228676e-08
"147","Male",NA,"NH Black","Some college/TS",0.031433033971105,0.0240921870439986,0.273522281806649,322,1.26294314937554e-06,1.96457823236196e-06
"148","Male",NA,"NH White","<HSG",0.0432448262397501,0.0360348552401812,0.189898535676801,443,9.02540771006793e-05,0.000122279717362211
"149","Male",NA,"NH White",">=College grad",0.130613041780554,0.123268155536742,0.0662898271827073,1338,0.0237397722678484,0.0293256010367539
"150","Male",NA,"NH White","HSG/GED",0.0966419367434596,0.0696198266869703,0.357437671820561,990,6.17133402599126e-27,2.15996690909694e-26
"151","Male",NA,"NH White","Some college/TS",0.142717688402968,0.105880718949527,0.340627211889597,1462,8.53373351285143e-34,3.5841680753976e-33
"152","Male",NA,"Other","<HSG",0.0079070675517376,0.013498921729817,-0.540505190366269,81,9.36787604478506e-07,1.51327228415759e-06
"153","Male",NA,"Other",">=College grad",0.029578289730574,0.0167530534935665,0.581589673313283,303,4.79005461337423e-24,1.43701638401227e-23
"154","Male",NA,"Other","HSG/GED",0.0152284263959391,0.0103236929525725,0.393690516407188,156,9.0528803322062e-07,1.51327228415759e-06
"155","Male",NA,"Other","Some college/TS",0.0163998438110113,0.0174356722020117,-0.0623000770146582,168,0.423142072298771,0.464276433813755
"156",NA,"18-44","Hispanic","<HSG",0.000195236235845373,0.0168081442972047,-4.47216428524142,2,1.30132932370213e-71,4.31493407332811e-71
"157",NA,"18-44","Hispanic","HSG/GED",0.000390472471690746,0.0119899002651764,-3.43613426821204,4,3.89102952195072e-47,1.02139524951206e-46
"158",NA,"18-44","Hispanic","Some college/TS",0.000292854353768059,0.0140598319559281,-3.88526852452841,3,1.02304127441912e-57,3.22258001442023e-57
"159",NA,"18-44","Hispanic",">=College grad",9.76181179226865e-05,0,-8888888,1,-8888888,-69999993
"160",NA,"18-44","NH White","<HSG",0,0.0117012186310111,-Inf,0,-Inf,-Inf
"161",NA,"18-44","NH White","HSG/GED",0,0.0134458681868023,-Inf,0,-Inf,-Inf
"162",NA,"18-44","NH White","Some college/TS",0,0.0269055675102209,-Inf,0,-Inf,-Inf
"163",NA,"18-44","NH White",">=College grad",0,0.0111969022568986,-Inf,0,-Inf,-Inf
"164",NA,"18-44","NH Black","<HSG",0,0.00122384369289961,-Inf,0,-Inf,-Inf
